rank		instances	precision	recall	f1-score
85	macro measures	3310	0.9125874125874126	0.31540785498489426	0.46879209699146834
86	macro measures	3310	0.9512195121951219	0.35347432024169184	0.5154185022026432
87	macro measures	3310	0.9456	0.35709969788519635	0.518421052631579
88	macro measures	3310	0.9287925696594427	0.36253776435045315	0.5215123859191655
89	macro measures	3310	0.9474576271186441	0.3377643504531722	0.4979955456570156
90	macro measures	3310	0.9296482412060302	0.33534743202416917	0.49289520426287736
91	macro measures	3310	0.9448398576512456	0.32084592145015106	0.4790257104194858
92	macro measures	3310	0.9573070607553367	0.3522658610271903	0.515017667844523
93	macro measures	3310	0.9243697478991597	0.3323262839879154	0.48888888888888893
94	macro measures	3310	0.9491228070175438	0.3268882175226586	0.4862921348314608
95	macro measures	3310	0.9500924214417745	0.31057401812688823	0.4681238615664845
